pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim
0.02391,0.0033,-0.0033,0,,,,
0.01032,0.00201,-0.00201,0,,,,
0.00636,0.00082,-0.00079,0,,,,
0.00727,0.00157,-0.00154,0,,,,
0.0208,0.0003,-0.0003,0,,,,
0.04373,0.00472,-0.00472,0,0.408,0.016,-0.016,0
0.026,0.013,-0.005,0,,,,
0.02517,0.00157,-0.00157,0,,,,0
0.02246,0.00186,-0.00186,0,,,,0
0.00777,0.00085,-0.00085,0,,,,
0.0197,0.00249,-0.00239,0,,,,
0.00941,0.00145,-0.00145,0,,,,0
0.05213,0.00296,-0.00299,0,,,,0
0.02,0.01,-0.01,0,,,,0
0.07,0.007,-0.007,0,0.372,0.015,-0.015,0
4,4.5,-1,0,,,,
0.01686,0.00217,-0.00195,0,,,,
0.0497,0.0009,-0.0009,0,,,,
0.0173,0.0009,-0.0009,0,,,,
0.0053,0.0006,-0.0006,0,,,,
0.00887,0.0016,-0.0016,0,,,,0
0.328,0.032,-0.032,0,,,,
0.018,0.004,-0.004,0,,,,
0.012,0.005,-0.004,0,,,,
0.008,0.005,-0.004,0,,,,
0.008,0.004,-0.004,0,,,,
0.014,0.008,-0.007,0,,,,
0.035,,,0,,,,
4.96,0.96,-0.96,0,,,,0
6.8,0.1,-0.1,0,,,,
0.014,0.001,-0.001,0,,,,
0.025,0.002,-0.002,0,,,,
0.02832,0.00535,-0.00566,0,,,,0
0.06,0.01,-0.01,0,,,,0
0.68,0.09,-0.09,0,,,,
0.017,0.003,-0.003,0,,,,
1,0.31,-0.31,0,,,,0
4.42,0.2,-0.2,0,,,,0
2.2756,0.0045,-0.0045,0,,,,
0.7142,0.0039,-0.0039,0,,,,
0.021,0.001,-0.001,0,,,,
0.046,0.005,-0.005,0,,,,
0.06186,0.00761,-0.00724,0,,,,0
0.01076,0.00378,-0.00239,0,0.145,0.01,-0.01,0
0.00761,0.00236,-0.00154,0,0.113,0.008,-0.008,0
0.01636,0.00566,-0.00378,0,0.185,0.012,-0.012,0
20,,,0,3,0.5,-0.5,0
16,1,-1,0,,,,
11.3,1.7,-1.7,0,1.265,0.115,-0.115,0
0.04097,0.00639,-0.00632,0,,,,0
0.01771,0.00211,-0.00214,0,,,,0
0.02089,0.00167,-0.0017,0,,,,0
0.525,0.019,-0.019,0,1.319,0.019,-0.019,0
0.07362,0.00472,-0.00472,0,0.389,0.005,-0.005,0
1.59519,0.09439,-0.08495,0,,,,0
0.211,0.012,-0.012,0,0.959,0.029,-0.021,0
0.851,0.038,-0.038,0,1.272,0.065,-0.065,0
14.28,0.28,-0.28,0,,,,0
3.44,0.63,-0.63,0,1.42,0.12,-0.12,0
1.94,0.3,-0.3,0,1.06,0.07,-0.07,0
4.193,0.094,-0.094,0,1.289,0.066,-0.066,0
0.58,0.06,-0.06,0,1.05,0.04,-0.04,0
3.4,1.1,-0.7,0,,,,
0.197,0.013,-0.013,0,0.995,0.052,-0.052,0
0.292,0.018,-0.018,0,1.132,0.072,-0.072,0
8.62,0.17,-0.17,0,,,,0
7.246,0.187,-0.187,0,0.867,0.033,-0.033,0
4.87,1.57,-1.57,0,1.11,0.16,-0.16,0
2.47,0.32,-0.32,0,1.15,0.19,-0.19,0
1.34,0.59,-0.59,0,1.09,0.23,-0.23,0
0.75,0.25,-0.25,0,1.3,0.21,-0.21,0
0.569,0.023,-0.022,0,1.135,0.048,-0.048,0
0.07,0.02,-0.02,0,0.63,0.04,-0.04,0
0.62,0.03,-0.03,0,1.02,0.07,-0.06,0
0.626,0.037,-0.037,0,1.212,0.113,-0.082,0
0.88,0.25,-0.25,0,1.17,0.13,-0.13,0
0.65,0.11,-0.11,0,0.94,0.07,-0.07,0
0.83,0.18,-0.18,0,1.44,0.15,-0.15,0
2.27,0.84,-0.84,0,1.09,0.15,-0.15,0
0.83,0.21,-0.21,0,1.75,0.14,-0.14,0
0.92,0.5,-0.5,0,1.85,0.49,-0.49,0
7.01,2.75,-2.75,0,1.35,0.23,-0.23,0
7.52,20.66,-20.66,0,3.55,4.87,-4.87,0
1.53,0.32,-0.32,0,1.15,0.1,-0.1,0
1.169,0.103,-0.103,0,1.178,0.077,-0.077,0
