pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim
1.05,0.4,-0.4,0,,,,0
0.57,0.05,-0.05,0,,,,0
0.0259,0.0034,-0.0033,0,,,,0
0.0547,0.0056,-0.0056,0,,,,0
1.3,0.05,-0.05,0,,,,0
2.6,0.15,-0.15,0,,,,
0.01164,,,1,0.08,0.006,-0.005,0
13,0.8,-0.8,0,,,,0
21.6,2.6,-2.6,0,,,,0
0.2,0.06,-0.06,0,,,,0
10.39,0.09,-0.09,0,,,,
0.01491,0.0006,-0.0006,0,0.143,0.005,-0.005,0
0.01372,0.00069,-0.00069,0,0.135,0.004,-0.004,0
0.05088,0.00201,-0.00201,-1,0.144,0.002,-0.002,-1
0.02297,0.00126,-0.00126,-1,0.117,0.002,-0.002,-1
0.034,0.004,-0.004,0,,,,
0.34,0.02,-0.02,0,,,,
1,,,0,,,,
0.05223,0.00409,-0.00409,0,0.42,0.015,-0.015,0
0.066,0.012,-0.012,0,,,,0
14.6,2.3,-2.3,0,,,,0
16.64,13.26,-13.26,0,,,,0
1.06,0.09,-0.09,0,,,,
1.45,0.3,-0.3,0,,,,0
3.18,0.15,-0.15,0,,,,
3.09,0.79,-0.79,0,,,,
0.19,0.018,-0.018,0,0.836,0.031,-0.028,0
9.7,1.1,-1,0,,,,0
1.61,0.14,-0.14,0,,,,
1.56,0.11,-0.11,0,,,,
2.12,0.5,-0.5,0,,,,0
8.37,0.4,-0.4,0,,,,0
5.97,0.42,-0.42,0,,,,
0.7,0.12,-0.12,0,,,,0
13.65,0.97,-0.97,0,,,,0
2.61,0.11,-0.11,0,,,,0
1.64,0.18,-0.18,0,,,,0
1.13,0.25,-0.25,0,,,,0
6.575,,,0,,,,
0.05638,0.00444,-0.04405,0,,,,0
0.05405,0.00337,-0.04333,0,,,,0
9.03,0.74,-0.74,0,,,,0
6,2.7,-2.7,0,,,,0
5.21,,,0,,,,
15.89,5.58,-5.58,0,,,,0
3.86,0.36,-0.36,0,,,,0
12.89,2.89,-2.89,0,,,,0
0.03713,0.00975,-0.00975,0,,,,0
4.48,0.3,-0.28,0,,,,0
0.95,0.1,-0.1,0,,,,0
0.42,0.03,-0.03,0,,,,0
1.17,0.12,-0.12,0,1.44,0.05,-0.05,0
0.02665,0.00148,-0.00148,0,,,,0
1.56,0.14,-0.14,0,,,,
1.45,0.14,-0.14,0,,,,
0.665,0.009,-0.007,0,,,,
0.162,0.011,-0.04,0,,,,
5.415,0.239,-1.214,0,,,,
5.9,0.24,-0.24,0,,,,0
1.16,0.1,-0.06,0,,,,
0.98,0.1,-0.1,0,,,,0
0.026,,,0,,,,
1.542,0.073,-0.073,0,,,,
2.4,0.2,-0.2,0,,,,
2.43,0.42,-0.42,0,,,,0
1.37,0.26,-0.26,0,,,,0
9.46,0.84,-0.84,0,,,,0
7.6,3.1,-3.1,0,,,,
1.22,0.14,-0.14,0,,,,0
0.47,0.06,-0.06,0,,,,
1.547,0.091,-0.091,0,,,,
0.62,0.12,-0.12,0,,,,0
0.0329,0.0028,-0.0028,0,,,,0
0.0445,0.004,-0.0039,0,,,,0
0.0372,0.0053,-0.0052,0,,,,0
,,,0,0.152,0.007,-0.007,0
,,,0,0.255,0.02,-0.02,0
0.02171,0.00223,-0.00223,0,,,,0
3.04,0.68,-0.68,0,,,,
0.7,0.03,-0.03,0,,,,
0.48,0.02,-0.02,0,,,,0
1.385,0.064,-0.064,0,,,,
5.97,1.04,-0.8,0,,,,0
0.329,0.071,-0.071,0,,,,0
9.1,,,0,,,,
2.01,0.31,-0.31,0,,,,0
1.75,0.18,-0.18,0,,,,
0.82,0.09,-0.09,0,,,,0
0.168,0.016,-0.016,0,,,,0
0.097,0.13,-0.13,0,,,,0
0.0529,0.0089,-0.0089,0,,,,0
0.119,0.021,-0.021,0,,,,0
0.38,0.13,-0.13,0,,,,0
3.76,0.17,-0.17,0,,,,
0.228,0.011,-0.011,0,,,,0
0.675,0.017,-0.017,0,,,,
0.652,0.052,-0.052,0,,,,
0.696,0.059,-0.059,0,,,,
2.69,0.3,-0.3,0,,,,0
3.19,0.38,-0.38,0,,,,0
0.4,0.04,-0.04,0,,,,0
0.797,0.015,-0.015,0,,,,
12.99,0.15,-0.15,0,,,,
10.13,0.23,-0.23,0,,,,
10.02,0.15,-0.15,0,,,,0
0.02674,0.00472,-0.00472,0,,,,0
0.0126,0.0025,-0.0022,0,,,,
0.0208,0.0035,-0.0031,0,,,,
0.0299,0.0053,-0.0047,0,,,,
0.0164,0.0047,-0.005,0,,,,
0.0223,0.0082,-0.0082,0,,,,
2.7,0.6,-0.6,0,,,,0
4.67,0.34,-0.34,0,,,,0
2.54,0.74,-0.74,0,,,,
18.37,0.22,-0.22,0,,,,
1.56,0.04,-0.04,0,,,,
1.6,0.1,-0.1,0,,,,
2.23,0.21,-0.21,0,,,,0
2.17,0.52,-0.52,0,,,,
0.82,0.04,-0.04,0,,,,0
0.04531,0.00787,-0.00755,0,,,,
0.05,0,0,0,,,,0
1.927,0.09,-0.09,0,,,,
0.6,0.12,-0.04,0,,,,
2.55,0.34,-0.34,0,,,,0
0.58,0.06,-0.04,0,,,,
0.0384,0.0033,-0.0032,0,,,,0
0.0277,0.0034,-0.0032,0,,,,0
1.79,0.14,-0.14,0,,,,
0.1872,,,0,,,,
0.6579,,,0,,,,
0.433,0.076,-0.076,0,,,,0
0.226,0.019,-0.019,0,,,,
0.07,0,0,0,,,,0
0.35061,,,0,,,,
2.37,0.34,-0.34,0,,,,
2.37,0.38,-0.38,0,,,,
1.75,0.2,-0.17,0,,,,0
1.86,0.16,-0.15,0,,,,0
7.32,2.36,-2.36,0,,,,
1.47,0.12,-0.12,0,,,,
1.615,0.092,-0.092,0,,,,
0.1,0.01,-0.01,0,,,,0
1.45,0.08,-0.08,0,,,,0
2.93,0.73,-0.18,0,,,,0
4.954,0.389,-0.389,0,,,,
0.0402,0.0038,-0.0037,0,,,,0
0.045,0.0051,-0.0048,0,,,,0
1.21,0.05,-0.05,0,,,,0
1.556,0.042,-0.042,0,,,,
1.053,0.072,-0.072,0,,,,
3.87,0.72,-0.72,0,,,,0
5.78,0.53,-0.53,0,,,,
1.681,0.081,-0.081,0,,,,
0.33,0.03,-0.03,0,,,,
7.63,1.43,-1.43,0,,,,0
6.92,0.18,-0.24,0,,,,
1.06,0.08,-0.08,0,,,,
2.51,0.16,-0.16,0,,,,
2.3,0.45,-0.45,0,,,,
0.25,0.01,-0.01,0,,,,0
0.53,0.03,-0.03,0,,,,0
0.056,0.01101,-0.01101,0,,,,0
0.49,0.04,-0.04,0,,,,0
1.295,0.062,-0.062,0,,,,0
2.03,0.11,-0.11,0,,,,0
6,0.3,-0.3,0,,,,
2.64,0.2,-0.2,0,,,,0
3.06,0.22,-0.2,0,,,,
4.85,10,-3.61,0,,,,
1.68,0.24,-0.24,0,,,,0
3.07,0.35,-0.35,0,,,,
1.97,0.1,-0.1,0,,,,0
0.0321,,,0,,,,
0.0371,,,0,,,,
0.057,,,0,,,,
6.1,0.4,-0.4,0,,,,
1.85,0.09,-0.09,0,,,,0
0.27,0.03,-0.03,0,,,,0
1.768,0.08,-0.08,0,,,,
3.85,0.23,-0.23,0,,,,0
5.45,0.37,-0.37,0,,,,
3.06,0.07,-0.07,0,,,,
3.08,0.31,-0.31,0,,,,0
2.25,0.13,-0.13,0,,,,
1.112,0.059,-0.059,0,,,,
1.8,0.06,-0.06,0,,,,
8.06,0.37,-0.37,0,,,,
0.508,0.111,-0.111,0,,,,0
0.49,0.03,-0.03,0,,,,0
1,0.14,-0.14,0,,,,
5.64,0.72,-0.72,0,,,,
2.71,0.36,-0.36,0,,,,0
0.21,0.03,-0.03,0,,,,0
3.93,0.14,-0.15,0,,,,0
0.06,0.02,-0.02,0,,,,0
0.02,0,0,0,,,,0
0.02473,0.0023,-0.00223,0,,,,
0.02026,0.00249,-0.00245,0,,,,
1.34,0.21,-0.21,0,,,,0
4.38,0.74,-0.74,0,1.07,0.03,-0.03,0
7.27,0.98,-0.98,0,,,,0
2.7,,,0,,,,
2.33,0.33,-0.33,0,,,,0
1.681,0.028,-0.028,0,,,,
1.959,0.047,-0.047,0,,,,
0.20955,0.06167,-0.06167,0,,,,0
0.34,0.02,-0.02,0,,,,0
0.68,0.07,-0.04,0,,,,
0.099,0.01,-0.01,0,,,,0
0.01,0,0,0,,,,0
2.03,0.14,-0.14,0,,,,0
1.48,0.23,-0.23,0,,,,0
0.92,0.1,-0.1,0,,,,
7,1.6,-1.6,0,,,,
14.2,1.6,-1.6,0,,,,0
3.6,0.7,-0.7,0,,,,
12.4,0.7,-0.7,0,,,,
1.54,0.26,-0.26,0,,,,0
0.2845,0.0063,-0.0063,0,,,,
2.11,0.21,-0.21,0,,,,0
0.11,0.017,-0.018,0,0.66,0.028,-0.03,0
8.35,0.18,-0.18,0,,,,0
0.057,0.005,-0.005,0,,,,
1.11,0.14,-0.14,0,,,,
3.76,0.16,-0.15,0,,,,0
3.67,0.3,-0.25,0,,,,0
16.88,0.69,-0.65,0,,,,0
0.37,,,0,,,,
0.7,0.06,-0.06,0,,,,0
1.82,0.17,-0.17,0,,,,0
1.26,0.17,-0.17,0,,,,
5,2,-2,0,,,,
3.45,0.14,-0.14,0,,,,
1.26,0.085,-0.085,0,,,,
10.63,8.06,-8.06,0,,,,0
3.74,0.93,-0.93,0,,,,0
1.27,0.27,-0.27,0,,,,
20.96,12.99,-12.99,0,,,,0
0.717,0.04,-0.04,0,,,,
0.03,0,0,0,0.21,0.01,-0.01,0
1.964,0.099,-0.099,0,,,,
6.79,0.53,-0.31,0,,,,0
2.33,0.78,-0.78,0,,,,0
0.44,0.08,-0.08,0,,,,0
0.07,0.05,-0.05,0,,,,0
1.23,0.19,-0.19,0,,,,
5.69,1.43,-0.96,0,,,,0
8.2,0.2,-0.2,0,,,,
1.98,0.21,-0.21,0,,,,
1.56,0.08,-0.08,0,,,,
2.68,0.12,-0.12,0,,,,
0.04,0.01,-0.01,0,0.22,0.01,-0.01,0
0.36,0.07,-0.07,0,,,,0
3.9,0.49,-0.49,0,,,,0
1.31,0.18,-0.18,0,,,,0
0.59,0.1,-0.1,0,,,,0
0.03996,0.0085,-0.0085,0,,,,0
,,,0,,,,0
,,,0,,,,0
,,,0,,,,0
,,,0,,,,0
,,,0,,,,0
0.96,0.56,-0.56,0,,,,0
15.04,10.55,-10.55,0,,,,
0.02712,0.00579,-0.00579,0,,,,0
0.03914,0.00664,-0.00664,0,,,,0
0.02,0.01,-0.01,0,,,,0
0.40902,0.00944,-0.00944,0,,,,
0.5267,0.03,-0.03,0,,,,
9.18,,,0,,,,
0.428,0.032,-0.032,0,,,,
0.784,0.054,-0.054,0,,,,
9,3,-3,0,1.5,0.1,-0.1,0
6,0.49,-0.49,0,,,,
11.1,0.4,-1.1,0,,,,
1.38,0.15,-0.15,0,,,,
5.98,0.76,-0.76,0,,,,
9,6,-6,0,,,,
0.05915,0.0129,-0.0129,0,,,,0
2.4,0.3,-0.3,0,,,,
23,1,-1,0,,,,
2.1,,,0,,,,0
5.5,1,-1,0,,,,
1.09,0.21,-0.21,0,,,,0
20,0.4,-0.4,0,,,,
21.9987,9.42803,-9.42803,0,1.051,0.136,-0.058,0
30,15,-15,0,1.11,0.11,-0.11,0
2.27,0.25,-0.25,0,,,,0
7,4,-2,0,1.2,0.1,-0.1,0
10,3,-3,0,1.2,0.1,0,0
10,3,-3,0,1.2,0.1,0,0
,,,,,,,
6.3,0.5,-0.5,0,,,,0
0.08495,0.05349,-0.05034,0,0.343,0.031,-0.03,0
,,,0,0.32,0.012,-0.012,0
,,,,0.178,0.009,-0.009,0
,,,,0.116,0.009,-0.009,0
,,,0,0.175,0.013,-0.013,0
,,,0,0.301,0.011,-0.011,0
,,,0,1.426,0.049,-0.049,0
,,,0,0.476,0.019,-0.019,0
,,,,0.674,0.832,-0.832,0
,,,0,0.228,0.006,-0.006,0
0.02706,0.01227,-0.01227,0,0.17,0.018,-0.018,0
,,,0,1.083,0.031,-0.031,0
,,,0,0.952,0.032,-0.032,0
,,,0,1.076,0.02,-0.02,0
,,,0,0.062,0.004,-0.004,0
,,,0,0.181,0.009,-0.009,0
,,,0,0.184,0.011,-0.011,0
,,,0,0.227,0.021,-0.018,0
,,,0,0.226,0.018,-0.018,0
,,,,0.208,0.052,-0.052,0
,,,0,0.179,0.012,-0.011,0
,,,0,0.669,0.012,-0.012,0
,,,0,0.108,0.007,-0.007,0
,,,0,0.246,0.014,-0.014,0
,,,0,0.259,0.009,-0.009,0
,,,0,0.194,0.017,-0.016,0
,,,0,0.176,0.011,-0.011,0
,,,0,0.747,0.029,-0.029,0
,,,0,0.127,0.014,-0.012,0
,,,0,0.093,0.009,-0.008,0
,,,,0.169,0.085,-0.085,0
,,,0,0.112,0.018,-0.012,0
,,,0,0.152,0.008,-0.004,0
0.49,0.06,-0.06,0,1.3,0.07,-0.07,0
,,,0,0.12,0.007,-0.007,0
,,,0,0.143,0.008,-0.008,0
,,,0,0.179,0.01,-0.01,0
,,,0,0.154,0.012,-0.012,0
,,,0,0.088,0.005,-0.004,0
,,,0,0.26,0.01,-0.009,0
,,,0,0.129,0.01,-0.007,0
0.5,,,1,0.079,0.008,-0.008,0
,,,0,0.14,0.025,-0.015,0
,,,0,0.225,0.03,-0.014,0
,,,0,0.237,0.035,-0.016,0
,,,0,0.294,0.031,-0.016,0
,,,0,0.251,0.032,-0.017,0
,,,0,0.813,0.015,-0.015,0
,,,,0.429,0.037,-0.037,0
,,,0,1.093,0.015,-0.015,0
0.01598,0.00129,-0.00129,0,0.135,0.004,-0.004,0
0.02328,,,1,0.624,0.41,-0.25,0
,,,0,0.192,0.077,-0.077,0
,,,0,0.123,0.015,-0.013,0
,,,0,0.119,0.017,-0.016,0
,,,0,0.154,0.021,-0.019,0
,,,0,0.146,0.021,-0.019,0
,,,0,0.146,0.018,-0.016,0
,,,,0.221,0.027,-0.027,0
,,,0,0.178,0.024,-0.019,0
,,,0,0.133,0.007,-0.007,0
,,,0,0.204,0.022,-0.021,0
,,,0,0.178,0.019,-0.016,0
,,,0,0.178,0.019,-0.01,0
,,,0,0.185,0.016,-0.012,0
,,,0,0.161,0.018,-0.009,0
,,,0,0.232,0.062,-0.018,0
,,,0,0.17,0.062,-0.018,0
,,,0,0.103,0.009,-0.006,0
,,,,0.094,0.013,-0.009,0
,,,0,0.236,0.014,-0.009,0
,,,0,0.114,0.012,-0.009,0
,,,0,0.202,0.015,-0.01,0
,,,,0.18,0.021,-0.021,0
,,,,0.227,0.1,-0.042,0
,,,,0.284,0.019,-0.013,0
,,,,0.546,0.146,-0.07,0
,,,0,0.128,0.01,-0.006,0
,,,,0.22,0.023,-0.011,0
,,,,0.29,0.046,-0.037,0
,,,,0.114,0.013,-0.009,0
,,,,0.139,0.019,-0.01,0
,,,,0.236,0.023,-0.013,0
,,,0,0.195,0.018,-0.017,0
,,,,0.252,0.046,-0.04,0
,,,,0.191,0.018,-0.012,0
,,,,0.114,0.01,-0.007,0
,,,,0.199,0.018,-0.018,0
,,,,0.127,0.018,-0.012,0
,,,,0.161,0.022,-0.014,0
,,,,0.24,0.036,-0.03,0
,,,,0.149,0.014,-0.008,0
,,,,0.286,0.017,-0.012,0
,,,,0.143,0.014,-0.009,0
,,,0,0.232,0.009,-0.009,0
,,,,0.182,0.032,-0.024,0
,,,,0.133,0.011,-0.008,0
,,,,0.189,0.025,-0.014,0
,,,,0.317,0.018,-0.012,0
,,,,0.224,0.015,-0.011,0
0.02807,0.00535,-0.00503,0,0.211,0.02,-0.02,0
0.02363,0.00418,-0.00418,0,,,,0
,,,0,0.206,0.014,-0.014,0
,,,0,0.253,0.018,-0.018,0
,,,0,0.246,0.006,-0.006,0
,,,,0.232,2.276,-0.124,0
,,,0,0.256,0.019,-0.019,0
,,,0,0.255,0.024,-0.024,0
,,,0,0.138,0.008,-0.008,0
,,,,0.117,0.02,-0.01,0
,,,,0.283,0.024,-0.015,0
,,,0,0.116,0.012,-0.012,0
,,,0,0.161,0.012,-0.012,0
,,,0,0.283,0.016,-0.016,0
,,,0,0.212,0.016,-0.016,0
,,,0,0.12,0.01,-0.01,0
,,,0,0.252,0.013,-0.013,0
,,,0,0.136,0.008,-0.008,0
,,,0,0.223,0.011,-0.011,0
,,,,0.691,0.035,-0.035,0
,,,,0.434,0.055,-0.039,0
,,,,0.102,0.012,-0.012,0
,,,,0.121,0.016,-0.009,0
,,,,0.098,0.014,-0.008,0
,,,,0.141,0.024,-0.012,0
,,,0,0.136,0.012,-0.012,0
,,,0,0.352,0.011,-0.011,0
,,,,0.325,0.055,-0.045,0
,,,0,0.279,0.011,-0.011,0
,,,,0.23,0.024,-0.013,0
,,,,0.321,0.054,-0.045,0
,,,0,0.228,0.014,-0.014,0
,,,,0.367,0.023,-0.015,0
,,,0,0.167,0.012,-0.012,0
,,,0,0.248,0.012,-0.012,0
,,,,0.122,0.013,-0.009,0
,,,,0.125,0.012,-0.007,0
,,,,0.293,0.036,-0.016,0
,,,,0.205,0.016,-0.012,0
,,,,0.122,0.025,-0.011,0
,,,,0.272,0.039,-0.033,0
,,,,0.178,0.024,-0.021,0
,,,,0.249,0.02,-0.014,0
,,,,0.232,0.033,-0.019,0
,,,,0.15,0.015,-0.011,0
,,,,0.077,0.009,-0.006,0
,,,0,0.164,0.009,-0.009,0
,,,0,0.222,0.015,-0.017,0
,,,,0.073,0.009,-0.006,0
,,,,0.123,0.015,-0.009,0
,,,0,0.225,0.011,-0.011,0
,,,,0.135,0.027,-0.019,0
,,,0,0.217,0.012,-0.012,0
,,,,0.189,0.023,-0.014,0
0.02517,0.00503,-0.00503,0,0.156,0.015,-0.009,0
,,,,0.319,0.062,-0.043,0
,,,,0.229,0.025,-0.014,0
,,,,0.12,0.018,-0.016,0
,,,,0.128,0.019,-0.017,0
,,,,0.23,0.032,-0.029,0
1.4,,,1,0.223,0.036,-0.036,1
,,,0,0.213,0.011,-0.011,0
,,,,0.15,0.015,-0.009,0
,,,0,0.213,0.012,-0.012,0
,,,0,0.079,0.009,-0.007,0
,,,0,0.14,0.01,-0.006,0
,,,0,0.139,0.014,-0.012,0
,,,0,0.215,0.014,-0.011,0
,,,0,0.311,0.023,-0.018,0
,,,0,0.137,0.012,-0.008,0
,,,,0.149,0.109,-0.016,0
,,,0,0.108,0.009,-0.005,0
,,,0,0.102,0.005,-0.003,0
,,,0,0.181,0.011,-0.005,0
,,,0,0.175,0.016,-0.014,0
,,,0,0.223,0.018,-0.018,0
0.398,0.037,-0.037,0,1,0.022,-0.02,0
,,,0,0.125,0.006,-0.005,0
,,,0,0.119,0.007,-0.007,0
,,,0,0.236,0.01,-0.01,0
1.236,0.044,-0.044,0,1.642,0.05,-0.05,0
0.86,0.13,-0.12,0,1.3,0.15,-0.14,0
,,,0,0.098,0.009,-0.009,0
,,,0,0.089,0.009,-0.009,0
,,,0,0.098,0.009,-0.009,0
0.05978,0.00692,-0.00661,0,0.482,0.018,-0.018,0
0.04845,0.00598,-0.00566,0,0.669,0.027,-0.027,0
,,,0,0.178,0.018,-0.009,0
,,,0,0.161,0.027,-0.009,0
,,,0,0.227,0.016,-0.009,0
,,,0,0.227,0.019,-0.017,0
,,,0,0.194,0.012,-0.011,0
,,,0,0.179,0.013,-0.012,0
,,,0,0.156,0.012,-0.009,0
,,,0,0.387,0.017,-0.012,0
,,,0,0.311,0.022,-0.019,0
,,,0,0.189,0.017,-0.014,0
,,,0,0.195,0.022,-0.021,0
,,,0,0.229,0.018,-0.012,0
,,,0,0.249,0.024,-0.02,0
,,,0,0.306,0.085,-0.028,0
,,,0,0.218,0.017,-0.013,0
,,,0,0.21,0.023,-0.019,0
,,,0,0.155,0.015,-0.011,0
,,,0,1.13,0.062,-0.054,0
,,,0,0.145,0.025,-0.021,0
,,,0,0.195,0.021,-0.016,0
,,,0,0.259,0.025,-0.01,0
,,,0,0.235,0.022,-0.019,0
,,,0,0.074,0.005,-0.004,0
,,,0,0.268,0.019,-0.018,0
,,,0,0.207,0.018,-0.015,0
,,,,0.238,0.041,-0.037,0
1.42,0.31,-0.32,0,1.552,0.048,-0.057,0
0.223,0.031,-0.031,0,0.85,0.026,-0.022,0
0.04657,0.00975,-0.00975,0,0.215,0.011,-0.011,0
,,,0,0.199,0.013,-0.013,0
,,,0,0.238,0.018,-0.017,0
0.02058,0.00264,-0.00264,0,0.153,0.01,-0.01,0
0.03555,0.03461,-0.02045,0,0.294,0.161,-0.116,0
0.00091,0.00053,-0.00035,0,0.063,0.009,-0.008,0
0.02958,0.00912,-0.00629,0,0.261,0.012,-0.011,0
0.02611,0.0085,-0.00566,0,0.244,0.012,-0.01,0
,,,0,0.126,0.012,-0.012,0
,,,0,0.24,0.021,-0.021,0
,,,0,0.14,0.011,-0.011,0
0.09722,0.01447,-0.01447,0,0.4,0.021,-0.021,0
,,,0,0.123,0.01,-0.01,0
,,,0,0.263,0.014,-0.014,0
,,,0,0.649,0.021,-0.021,0
,,,0,0.26,0.013,-0.013,0
,,,0,0.394,0.114,-0.114,0
,,,0,0.196,0.011,-0.011,0
,,,0,0.2,0.011,-0.011,0
,,,0,0.209,0.009,-0.009,0
,,,0,0.336,0.019,-0.019,0
,,,0,0.185,0.011,-0.011,0
,,,0,0.266,0.021,-0.021,0
,,,0,0.108,0.012,-0.012,0
,,,,0.207,0.021,-0.021,0
,,,0,0.684,0.023,-0.023,0
,,,0,0.73,0.019,-0.019,0
,,,0,0.252,0.012,-0.012,0
,,,0,0.314,0.014,-0.014,0
,,,0,0.248,0.012,-0.011,0
0.03046,0.00381,-0.00431,0,0.231,0.005,-0.005,0
0.04933,0.00717,-0.0067,0,0.315,0.007,-0.007,0
0.02045,,,1,0.221,0.005,-0.005,0
0.03367,,,1,0.174,0.004,-0.004,0
,,,0,0.187,0.018,-0.018,0
0.315,0.027,-0.027,0,0.847,0.013,-0.013,0
,,,0,0.17,0.027,-0.027,0
,,,0,0.812,0.027,-0.027,0
0.73,0.04,-0.04,0,1.19,0.02,-0.02,0
0.0343,,,1,0.273,0.014,-0.014,0
0.774,0.047,-0.047,0,1.006,0.05,-0.05,0
0.02042,0.00365,-0.00365,0,0.142,0.008,-0.006,0
,,,0,0.219,0.031,-0.022,0
,,,0,0.148,0.019,-0.017,0
0.335,0.062,-0.062,0,0.897,0.011,-0.005,0
,,,,0.194,0.027,-0.027,0
,,,,0.165,0.024,-0.024,0
,,,,0.135,0.021,-0.021,0
0.579,0.028,-0.027,0,1.039,0.05,-0.051,0
1.774,0.079,-0.079,0,1.06,0.35,-0.35,0
,,,0,0.443,0.029,-0.024,0
,,,0,0.244,0.018,-0.014,0
,,,0,0.292,0.021,-0.017,0
,,,0,0.09,0.009,-0.008,0
3.7,,,1,0.45,0.03,-0.033,0
,,,0,1.245,0.029,-0.029,0
,,,0,0.172,0.012,-0.01,0
,,,0,0.118,0.007,-0.007,0
,,,,0.118,0.008,-0.008,0
,,,,0.25,0.038,-0.028,0
,,,,0.144,0.015,-0.015,0
,,,,0.245,0.024,-0.024,0
,,,,0.244,0.032,-0.032,0
0.06,0.03,-0.03,0,0.17,0.03,-0.03,0
0.03115,0.01447,-0.01447,0,0.216,0.026,-0.026,0
0.09,0.05,-0.05,0,0.56,0.15,-0.15,0
,,,0,0.187,0.018,-0.017,0
,,,,0.192,0.021,-0.021,0
,,,0,0.424,0.03,-0.029,0
,,,,0.243,0.029,-0.029,0
,,,,0.599,0,0,0
,,,,0.183,0.021,-0.021,0
,,,,0.169,0.023,-0.023,0
,,,,0.2,0.021,-0.021,0
,,,,0.172,0.047,-0.047,0
,,,,0.17,0.039,-0.039,0
,,,,0.202,0.055,-0.055,0
,,,,0.142,0.021,-0.021,0
,,,0,1.606,0.196,-0.196,0
,,,0,0.232,0.009,-0.009,0
,,,,0.103,0.017,-0.017,0
,,,,0.341,0.029,-0.029,0
,,,,0.187,0.022,-0.022,0
,,,,0.239,0.033,-0.033,0
,,,,0.145,0.021,-0.021,0
,,,,0.153,0.022,-0.022,0
,,,,0.215,0.028,-0.028,0
,,,,0.205,0.026,-0.026,0
,,,,0.223,0.079,-0.079,0
0.426,0.037,-0.037,0,0.683,0.037,-0.037,0
,,,,0.221,0.07,-0.07,0
,,,,0.191,0.019,-0.019,0
,,,,0.191,0.02,-0.02,0
,,,,0.287,0.088,-0.088,0
,,,0,0.348,0.107,-0.107,0
,,,,0.185,0.023,-0.023,0
,,,,0.141,0.034,-0.034,0
0.06702,0.01133,-0.01133,0,0.222,0.03,-0.021,0
,,,,0.141,0.021,-0.021,0
,,,,0.207,0.032,-0.032,0
,,,,0.238,0.05,-0.05,0
,,,,0.258,0.042,-0.042,0
,,,,0.192,0.029,-0.029,0
,,,0,0.096,0.01,-0.01,0
,,,0,0.103,0.012,-0.012,0
,,,0,0.09,0.011,-0.011,0
,,,0,0.115,0.012,-0.012,0
,,,,0.219,0.019,-0.019,0
,,,,0.206,0.017,-0.017,0
,,,,0.238,0.029,-0.029,0
,,,,0.247,0.034,-0.034,0
1.9,,,1,0.205,0.014,-0.014,0
,,,,0.329,0.035,-0.035,0
,,,,0.319,0.063,-0.063,0
,,,,0.215,0.029,-0.029,0
,,,,0.179,0.027,-0.027,0
,,,,0.131,0.021,-0.021,0
,,,,0.228,0.025,-0.012,0
,,,0,0.176,0.012,-0.01,0
,,,,0.111,0.009,-0.009,0
,,,,0.132,0.009,-0.009,0
,,,,0.215,0.031,-0.031,0
,,,,0.181,0.029,-0.029,0
,,,,0.09,0.011,-0.011,0
,,,,0.175,0.024,-0.024,0
,,,0,0.678,0.036,-0.036,0
,,,,0.11,0.022,-0.022,0
,,,,0.055,0.007,-0.007,0
,,,,0.201,0.047,-0.086,0
,,,0,0.232,0.009,-0.009,0
,,,0,0.116,0.012,-0.01,0
,,,,0.098,0.016,-0.016,0
,,,0,0.346,0.156,-0.156,0
,,,0,0.947,0.085,-0.085,0
,,,0,0.464,0.017,-0.017,0
,,,0,1.046,0.037,-0.037,0
27.23,0.5,-0.48,0,1.11,0.032,-0.022,0
0.679,0.039,-0.038,0,1.399,0.069,-0.049,0
0.171,0.015,-0.015,0,1.35,0.1,-0.1,0
0.95,0.14,-0.14,0,1.78,0.17,-0.16,0
1.284,0.032,-0.032,0,1.743,0.047,-0.047,0
1.31,0.43,-0.43,0,1.74,0.2,-0.2,0
2.75,0.16,-0.15,0,1.415,0.084,-0.067,0
1.31,0.28,-0.29,0,1.525,0.065,-0.06,0
1.18,0.11,-0.11,0,1.57,0.042,-0.036,0
4.07,,,1,1.91,0.11,-0.11,0
1.7,0.22,-0.22,0,1.35,0.08,-0.08,0
3.382,,,1,1.741,0.069,-0.074,0
3.91,,,1,1.586,0.039,-0.04,0
0.938,0.048,-0.044,0,1.323,0.025,-0.025,0
1.94,0.33,-0.33,0,1.56,0.11,-0.11,0
0.902,0.06,-0.059,0,1.699,0.046,-0.045,0
0.52,0.12,-0.12,0,1.3,0.09,-0.09,0
3.71,0.21,-0.21,0,,,,
1.39,0.22,-0.22,0,1.6,0.06,-0.06,0
0.66,0.12,-0.12,0,1.62,0.1,-0.1,0
2.88,0.84,-0.84,0,1.891,0.061,-0.053,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,0.491,0.08,-0.071,0
,,,,0.616,0.089,-0.08,0
,,,,0.571,0.143,-0.143,0
,,,,0.589,2.346,-0.375,0
11.8,0.8,-0.6,0,,,,
,,,,0.366,0.196,-0.17,0
,,,,0.214,0.17,-0.125,0
,,,,0.41,0.054,-0.062,0
3.283,3.468,-1.835,0,,,,0
7,5.2,-4.3,0,,,,0
4.57,5.03,-2.14,0,,,,0
